,Year,Actress,Role(s),Film,Ref.,FilmLink,Won,Record,Actor,Age
0,1927/28 (1st),Janet Gaynor ‡,Diane,7th Heaven,[7],/wiki/7th_Heaven_(1927_film),True,,,
1,1927/28 (1st),Janet Gaynor ‡,Angela,Street Angel,[7],/wiki/Street_Angel_(1928_film),True,,,
2,1927/28 (1st),Janet Gaynor ‡,The Wife,Sunrise: A Song of Two Humans,[7],/wiki/Sunrise:_A_Song_of_Two_Humans,True,,,
3,1927/28 (1st),Louise Dresser,Mrs. Pleznik,A Ship Comes In,[7],/wiki/A_Ship_Comes_In,False,,,
4,1927/28 (1st),Gloria Swanson,Sadie Thompson,Sadie Thompson,[7],/wiki/Sadie_Thompson_(film),False,,,
5,1928/29 (2nd) [note 1],Mary Pickford ‡,Norma Besant,Coquette,[8],/wiki/Coquette_(film),True,,,
6,1928/29 (2nd) [note 1],Ruth Chatterton,Jacqueline Floriot,Madame X,[8],/wiki/Madame_X_(1929_film),False,,,
7,1928/29 (2nd) [note 1],Betty Compson,Carrie,The Barker,[8],/wiki/The_Barker,False,,,
8,1928/29 (2nd) [note 1],Jeanne Eagels †,Leslie Crosbie,The Letter,[8],/wiki/The_Letter_(1929_film),False,,,
9,1928/29 (2nd) [note 1],Corinne Griffith,Emma Hamilton,The Divine Lady,[8],/wiki/The_Divine_Lady,False,,,
10,1928/29 (2nd) [note 1],Bessie Love,Hank Mahoney,The Broadway Melody,[8],/wiki/The_Broadway_Melody,False,,,
11,1929/30 (3rd),Norma Shearer ‡[A],Jerry Bernard Martin,The Divorcee,[9],/wiki/The_Divorcee,True,,,
12,1929/30 (3rd),Nancy Carroll,Hallie Hobart,The Devil's Holiday,[9],/wiki/The_Devil%27s_Holiday,False,,,
13,1929/30 (3rd),Ruth Chatterton,Sarah Storm,Sarah and Son,[9],/wiki/Sarah_and_Son,False,,,
14,1929/30 (3rd),Greta Garbo[A],Anna Christie,Anna Christie,[9],/wiki/Anna_Christie_(1930_English-language_film),False,,,
15,1929/30 (3rd),Greta Garbo[A],Madame Rita Cavallini,Romance,[9],/wiki/Romance_(1930_film),False,,,
16,1929/30 (3rd),Norma Shearer,Lucia Marlett,Their Own Desire,[9],/wiki/Their_Own_Desire,False,,,
17,1929/30 (3rd),Gloria Swanson,Marion Donnell,The Trespasser,[9],/wiki/The_Trespasser_(1929_film),False,,,
18,1930/31 (4th),Marie Dressler ‡,Min Divot,Min and Bill,[10],/wiki/Min_and_Bill,True,,,
19,1930/31 (4th),Marlene Dietrich,Mademoiselle Amy Jolly,Morocco,[10],/wiki/Morocco_(film),False,,,
20,1930/31 (4th),Irene Dunne,Sabra Cravat,Cimarron,[10],/wiki/Cimarron_(1931_film),False,,,
21,1930/31 (4th),Ann Harding,Linda Seton,Holiday,[10],/wiki/Holiday_(1930_film),False,,,
22,1930/31 (4th),Norma Shearer,Jan Ashe,A Free Soul,[10],/wiki/A_Free_Soul,False,,,
23,1931/32 (5th),Helen Hayes ‡,Madelon Claudet,The Sin of Madelon Claudet,[11],/wiki/The_Sin_of_Madelon_Claudet,True,,,
24,1931/32 (5th),Marie Dressler,Emma Thatcher Smith,Emma,[11],/wiki/Emma_(1932_film),False,,,
25,1931/32 (5th),Lynn Fontanne,The Actress,The Guardsman,[11],/wiki/The_Guardsman,False,,,
26,1932/33 (6th),Katharine Hepburn ‡,Eva Lovelace,Morning Glory,[12],/wiki/Morning_Glory_(1933_film),True,,,
27,1932/33 (6th),May Robson,Apple Annie,Lady for a Day,[12],/wiki/Lady_for_a_Day,False,,,
28,1932/33 (6th),Diana Wynyard,Jane Marryot,Cavalcade,[12],/wiki/Cavalcade_(1933_film),False,,,
29,1934 (7th),Claudette Colbert ‡,Ellie Andrews,It Happened One Night,[13],/wiki/It_Happened_One_Night,True,,,
30,1934 (7th),Grace Moore,Mary Barrett,One Night of Love,[13],/wiki/One_Night_of_Love,False,,,
31,1934 (7th),Norma Shearer,Elizabeth Barrett,The Barretts of Wimpole Street,[13],/wiki/The_Barretts_of_Wimpole_Street_(1934_film),False,,,
32,1934 (7th),Bette Davis (Write-in)[B],Mildred Rogers,Of Human Bondage,[13],/wiki/Of_Human_Bondage_(1934_film),False,,,
33,1935 (8th),Bette Davis ‡,Joyce Heath,Dangerous,[14],/wiki/Dangerous_(1935_film),True,,,
34,1935 (8th),Elisabeth Bergner,Gemma Jones,Escape Me Never,[14],/wiki/Escape_Me_Never_(1935_film),False,,,
35,1935 (8th),Claudette Colbert,Jane Everest,Private Worlds,[14],/wiki/Private_Worlds,False,,,
36,1935 (8th),Katharine Hepburn,Alice Adams,Alice Adams,[14],/wiki/Alice_Adams_(1935_film),False,,,
37,1935 (8th),Miriam Hopkins,Becky Sharp,Becky Sharp,[14],/wiki/Becky_Sharp_(character),False,,,
38,1935 (8th),Merle Oberon,Kitty Vane,The Dark Angel,[14],/wiki/The_Dark_Angel_(1935_film),False,,,
39,1936 (9th),Luise Rainer ‡,Anna Held,The Great Ziegfeld,[15],/wiki/The_Great_Ziegfeld,True,,,
40,1936 (9th),Irene Dunne,Theodora Lynn / Caroline Adams,Theodora Goes Wild,[15],/wiki/Theodora_Goes_Wild,False,,,
41,1936 (9th),Gladys George,Carrie Snyder,Valiant Is the Word for Carrie,[15],/wiki/Valiant_Is_the_Word_for_Carrie,False,,,
42,1936 (9th),Carole Lombard,Irene Bullock,My Man Godfrey,[15],/wiki/My_Man_Godfrey,False,,,
43,1936 (9th),Norma Shearer,Juliet Capulet,Romeo and Juliet,[15],/wiki/Romeo_and_Juliet_(1936_film),False,,,
44,1937 (10th),Luise Rainer ‡,O-Lan,The Good Earth,[16],/wiki/The_Good_Earth_(film),True,,,
45,1937 (10th),Irene Dunne,Lucy Warriner,The Awful Truth,[16],/wiki/The_Awful_Truth,False,,,
46,1937 (10th),Greta Garbo,Marguerite Gautier,Camille,[16],/wiki/Camille_(1936_film),False,,,
47,1937 (10th),Janet Gaynor,Esther Victoria Blodgett / Vicki Lester,A Star Is Born,[16],/wiki/A_Star_Is_Born_(1937_film),False,,,
48,1937 (10th),Barbara Stanwyck,Stella Martin Dallas,Stella Dallas,[16],/wiki/Stella_Dallas_(1937_film),False,,,
49,1938 (11th),Bette Davis ‡,Julie Marsden,Jezebel,[17],/wiki/Jezebel_(1938_film),True,,,
50,1938 (11th),Fay Bainter,Hannah Parmalee,White Banners,[17],/wiki/White_Banners,False,,,
51,1938 (11th),Wendy Hiller,Eliza Doolittle,Pygmalion,[17],/wiki/Pygmalion_(1938_film),False,,,
52,1938 (11th),Norma Shearer,Marie Antoinette,Marie Antoinette,[17],/wiki/Marie_Antoinette,False,,,
53,1938 (11th),Margaret Sullavan,"Patricia ""Pat"" Hollmann",Three Comrades,[17],/wiki/Three_Comrades_(1938_film),False,,,
54,1939 (12th),Vivien Leigh ‡,Scarlett O'Hara,Gone with the Wind,[18],/wiki/Gone_with_the_Wind_(film),True,,,
55,1939 (12th),Bette Davis,Judith Traherne,Dark Victory,[18],/wiki/Dark_Victory,False,,,
56,1939 (12th),Irene Dunne,Terry McKay,Love Affair,[18],/wiki/Love_Affair_(1939_film),False,,,
57,1939 (12th),Greta Garbo,"Nina Yakushova ""Ninotchka"" Ivanoff",Ninotchka,[18],/wiki/Ninotchka,False,,,
58,1939 (12th),Greer Garson,Katherine Bridges,"Goodbye, Mr. Chips",[18],"/wiki/Goodbye,_Mr._Chips_(1939_film)",False,,,
59,1940 (13th),Ginger Rogers ‡,Kitty Foyle,Kitty Foyle,[19],/wiki/Kitty_Foyle_(film),True,,,
60,1940 (13th),Bette Davis,Leslie Crosbie,The Letter,[19],/wiki/The_Letter_(1940_film),False,,,
61,1940 (13th),Joan Fontaine,The Second Mrs. de Winter,Rebecca,[19],/wiki/Rebecca_(1940_film),False,,,
62,1940 (13th),Katharine Hepburn,Tracy Lord,The Philadelphia Story,[19],/wiki/The_Philadelphia_Story_(film),False,,,
63,1940 (13th),Martha Scott,Emily Webb,Our Town,[19],/wiki/Our_Town_(1940_film),False,,,
64,1941 (14th),Joan Fontaine ‡,Lina McLaidlaw Aysgarth,Suspicion,[20],/wiki/Suspicion_(1941_film),True,,,
65,1941 (14th),Bette Davis,Regina Giddens,The Little Foxes,[20],/wiki/The_Little_Foxes_(film),False,,,
66,1941 (14th),Olivia de Havilland,Emmy Brown,Hold Back the Dawn,[20],/wiki/Hold_Back_the_Dawn,False,,,
67,1941 (14th),Greer Garson,Edna Gladney,Blossoms in the Dust,[20],/wiki/Blossoms_in_the_Dust,False,,,
68,1941 (14th),Barbara Stanwyck,"Katherine ""Sugarpuss"" O'Shea",Ball of Fire,[20],/wiki/Ball_of_Fire,False,,,
69,1942 (15th),Greer Garson ‡,Kay Miniver,Mrs. Miniver,[21],/wiki/Mrs._Miniver,True,,,
70,1942 (15th),Bette Davis,Charlotte Vale,"Now, Voyager",[21],"/wiki/Now,_Voyager",False,,,
71,1942 (15th),Katharine Hepburn,Tess Harding,Woman of the Year,[21],/wiki/Woman_of_the_Year,False,,,
72,1942 (15th),Rosalind Russell,Ruth Sherwood,My Sister Eileen,[21],/wiki/My_Sister_Eileen_(1942_film),False,,,
73,1942 (15th),Teresa Wright,Eleanor Twitchell Gehrig,The Pride of the Yankees,[21],/wiki/The_Pride_of_the_Yankees,False,,,
74,1943 (16th),Jennifer Jones ‡,Bernadette Soubirous,The Song of Bernadette,[22],/wiki/The_Song_of_Bernadette_(film),True,,,
75,1943 (16th),Jean Arthur,"Constance ""Connie"" Milligan",The More the Merrier,[22],/wiki/The_More_the_Merrier,False,,,
76,1943 (16th),Ingrid Bergman,María,For Whom the Bell Tolls,[22],/wiki/For_Whom_the_Bell_Tolls_(film),False,,,
77,1943 (16th),Joan Fontaine,Tessa Sanger,The Constant Nymph,[22],/wiki/The_Constant_Nymph_(1943_film),False,,,
78,1943 (16th),Greer Garson,Marie Curie,Madame Curie,[22],/wiki/Madame_Curie_(film),False,,,
79,1944 (17th),Ingrid Bergman ‡,Paula Alquist Anton,Gaslight,[23],/wiki/Gaslight_(1944_film),True,,,
80,1944 (17th),Claudette Colbert,Anne Hilton,Since You Went Away,[23],/wiki/Since_You_Went_Away,False,,,
81,1944 (17th),Bette Davis,Fanny Trellis,Mr. Skeffington,[23],/wiki/Mr._Skeffington,False,,,
82,1944 (17th),Greer Garson,"Susie ""Sparrow"" Parkington",Mrs. Parkington,[23],/wiki/Mrs._Parkington,False,,,
83,1944 (17th),Barbara Stanwyck,Phyllis Dietrichson,Double Indemnity,[23],/wiki/Double_Indemnity,False,,,
84,1945 (18th),Joan Crawford ‡,Mildred Pierce Beragon,Mildred Pierce,[24],/wiki/Mildred_Pierce_(film),True,,,
85,1945 (18th),Ingrid Bergman,Mary Benedict,The Bells of St. Mary's,[24],/wiki/The_Bells_of_St._Mary%27s,False,,,
86,1945 (18th),Greer Garson,Mary Rafferty,The Valley of Decision,[24],/wiki/The_Valley_of_Decision,False,,,
87,1945 (18th),Jennifer Jones,Singleton / Victoria Morland,Love Letters,[24],/wiki/Love_Letters_(1945_film),False,,,
88,1945 (18th),Gene Tierney,Ellen Berent Harland,Leave Her to Heaven,[24],/wiki/Leave_Her_to_Heaven,False,,,
89,1946 (19th),Olivia de Havilland ‡,"Josephine ""Jody"" Norris",To Each His Own,[25],/wiki/To_Each_His_Own_(1946_film),True,,,
90,1946 (19th),Celia Johnson,Laura Jesson,Brief Encounter,[25],/wiki/Brief_Encounter,False,,,
91,1946 (19th),Jennifer Jones,Pearl Chavez,Duel in the Sun,[25],/wiki/Duel_in_the_Sun_(film),False,,,
92,1946 (19th),Rosalind Russell,Elizabeth Kenny,Sister Kenny,[25],/wiki/Sister_Kenny,False,,,
93,1946 (19th),Jane Wyman,Orry Baxter,The Yearling,[25],/wiki/The_Yearling_(1946_film),False,,,
94,1947 (20th),Loretta Young ‡,Katie Holstrom,The Farmer's Daughter,[26],/wiki/The_Farmer%27s_Daughter_(1947_film),True,,,
95,1947 (20th),Joan Crawford,Louise Howell,Possessed,[26],/wiki/Possessed_(1947_film),False,,,
96,1947 (20th),Susan Hayward,Angelica Evans Conway,"Smash-Up, the Story of a Woman",[26],"/wiki/Smash-Up,_the_Story_of_a_Woman",False,,,
97,1947 (20th),Dorothy McGuire,Kathy Lacy,Gentleman's Agreement,[26],/wiki/Gentleman%27s_Agreement,False,,,
98,1947 (20th),Rosalind Russell,Lavinia Mannon,Mourning Becomes Electra,[26],/wiki/Mourning_Becomes_Electra_(film),False,,,
99,1948 (21st),Jane Wyman ‡,Belinda McDonald,Johnny Belinda,[27],/wiki/Johnny_Belinda_(1948_film),True,,,
100,1948 (21st),Ingrid Bergman,Joan of Arc,Joan of Arc,[27],/wiki/Joan_of_Arc,False,,,
101,1948 (21st),Olivia de Havilland,Virginia Stuart Cunningham,The Snake Pit,[27],/wiki/The_Snake_Pit,False,,,
102,1948 (21st),Irene Dunne,Martha Hanson,I Remember Mama,[27],/wiki/I_Remember_Mama_(film),False,,,
103,1948 (21st),Barbara Stanwyck,Leona Stevenson,"Sorry, Wrong Number",[27],"/wiki/Sorry,_Wrong_Number",False,,,
104,1949 (22nd),Olivia de Havilland ‡,Catherine Sloper,The Heiress,[28],/wiki/The_Heiress,True,,,
105,1949 (22nd),Jeanne Crain,"Patricia ""Pinky"" Johnson",Pinky,[28],/wiki/Pinky_(film),False,,,
106,1949 (22nd),Susan Hayward,Eloise Winters,My Foolish Heart,[28],/wiki/My_Foolish_Heart_(1949_film),False,,,
107,1949 (22nd),Deborah Kerr,Evelyn Boult,"Edward, My Son",[28],"/wiki/Edward,_My_Son",False,,,
108,1949 (22nd),Loretta Young,Margaret,Come to the Stable,[28],/wiki/Come_to_the_Stable,False,,,
109,1950 (23rd),Judy Holliday ‡,"Emma ""Billie"" Dawn",Born Yesterday,[29],/wiki/Born_Yesterday_(1950_film),True,,,
110,1950 (23rd),Anne Baxter,Eve Harrington,All About Eve,[29],/wiki/All_About_Eve,False,,,
111,1950 (23rd),Bette Davis,Margo Channing,All About Eve,[29],/wiki/All_About_Eve,False,,,
112,1950 (23rd),Eleanor Parker,Marie Allen,Caged,[29],/wiki/Caged_(1950_film),False,,,
113,1950 (23rd),Gloria Swanson,Norma Desmond,Sunset Boulevard,[29],/wiki/Sunset_Boulevard_(film),False,,,
114,1951 (24th),Vivien Leigh ‡,Blanche DuBois,A Streetcar Named Desire,[30],/wiki/A_Streetcar_Named_Desire_(1951_film),True,,,
115,1951 (24th),Katharine Hepburn,Rose Sayer,The African Queen,[30],/wiki/The_African_Queen_(film),False,,,
116,1951 (24th),Eleanor Parker,Mary McLeod,Detective Story,[30],/wiki/Detective_Story_(1951_film),False,,,
117,1951 (24th),Shelley Winters,Alice Tripp,A Place in the Sun,[30],/wiki/A_Place_in_the_Sun_(1951_film),False,,,
118,1951 (24th),Jane Wyman,Louise Mason,The Blue Veil,[30],/wiki/The_Blue_Veil_(1951_film),False,,,
119,1952 (25th),Shirley Booth ‡,Lola Delaney,"Come Back, Little Sheba",[31],"/wiki/Come_Back,_Little_Sheba_(1952_film)",True,,,
120,1952 (25th),Joan Crawford,Myra Hudson,Sudden Fear,[31],/wiki/Sudden_Fear,False,,,
121,1952 (25th),Bette Davis,Margaret Elliot,The Star,[31],/wiki/The_Star_(1952_film),False,,,
122,1952 (25th),Julie Harris,"Frances ""Frankie"" Addams",The Member of the Wedding,[31],/wiki/The_Member_of_the_Wedding_(film),False,,,
123,1952 (25th),Susan Hayward,Jane Froman,With a Song in My Heart,[31],/wiki/With_a_Song_in_My_Heart_(film),False,,,
124,1953 (26th),Audrey Hepburn ‡,Princess Ann,Roman Holiday,[32],/wiki/Roman_Holiday,True,,,
125,1953 (26th),Leslie Caron,Lili Daurier,Lili,[32],/wiki/Lili_(1953_film),False,,,
126,1953 (26th),Ava Gardner,"Eloise ""Honey Bear"" Kelly",Mogambo,[32],/wiki/Mogambo,False,,,
127,1953 (26th),Deborah Kerr,Karen Holmes,From Here to Eternity,[32],/wiki/From_Here_to_Eternity,False,,,
128,1953 (26th),Maggie McNamara,Patty O'Neill,The Moon Is Blue,[32],/wiki/The_Moon_Is_Blue_(film),False,,,
129,1954 (27th),Grace Kelly ‡,Georgie Elgin,The Country Girl,[33],/wiki/The_Country_Girl_(1954_film),True,,,
130,1954 (27th),Dorothy Dandridge,Carmen Jones,Carmen Jones,[33],/wiki/Carmen_Jones_(film),False,,,
131,1954 (27th),Judy Garland,Esther Victoria Blodgett / Vicki Lester,A Star Is Born,[33],/wiki/A_Star_Is_Born_(1954_film),False,,,
132,1954 (27th),Audrey Hepburn,Sabrina Fairchild,Sabrina,[33],/wiki/Sabrina_(1954_film),False,,,
133,1954 (27th),Jane Wyman,Helen Phillips,Magnificent Obsession,[33],/wiki/Magnificent_Obsession_(1954_film),False,,,
134,1955 (28th),Anna Magnani ‡,Serafina Delle Rose,The Rose Tattoo,[34],/wiki/The_Rose_Tattoo_(film),True,,,
135,1955 (28th),Susan Hayward,Lillian Roth,I'll Cry Tomorrow,[34],/wiki/I%27ll_Cry_Tomorrow,False,,,
136,1955 (28th),Katharine Hepburn,Jane Hudson,Summertime,[34],/wiki/Summertime_(1955_film),False,,,
137,1955 (28th),Jennifer Jones,Han Suyin,Love is a Many-Splendored Thing,[34],/wiki/Love_Is_a_Many-Splendored_Thing_(film),False,,,
138,1955 (28th),Eleanor Parker,Marjorie Lawrence,Interrupted Melody,[34],/wiki/Interrupted_Melody,False,,,
139,1956 (29th),Ingrid Bergman ‡,Anna Koreff / Anastasia,Anastasia,[35],/wiki/Grand_Duchess_Anastasia_Nikolaevna_of_Russia,True,,,
140,1956 (29th),Carroll Baker,Baby Doll Meighan,Baby Doll,[35],/wiki/Baby_Doll,False,,,
141,1956 (29th),Katharine Hepburn,Lizzie Curry,The Rainmaker,[35],/wiki/The_Rainmaker_(1956_film),False,,,
142,1956 (29th),Nancy Kelly,Christine Penmark,The Bad Seed,[35],/wiki/The_Bad_Seed_(1956_film),False,,,
143,1956 (29th),Deborah Kerr,Anna Leonowens,The King and I,[35],/wiki/The_King_and_I_(1956_film),False,,,
144,1957 (30th),Joanne Woodward ‡,Eve White / Eve Black / Jane,The Three Faces of Eve,[36],/wiki/The_Three_Faces_of_Eve,True,,,
145,1957 (30th),Deborah Kerr,Angela,"Heaven Knows, Mr. Allison",[36],"/wiki/Heaven_Knows,_Mr._Allison",False,,,
146,1957 (30th),Anna Magnani,Gioia,Wild Is the Wind,[36],/wiki/Wild_Is_the_Wind,False,,,
147,1957 (30th),Elizabeth Taylor,Susanna Drake,Raintree County,[36],/wiki/Raintree_County_(film),False,,,
148,1957 (30th),Lana Turner,Constance MacKenzie,Peyton Place,[36],/wiki/Peyton_Place_(film),False,,,
149,1958 (31st),Susan Hayward ‡,Barbara Graham,I Want to Live!,[37],/wiki/I_Want_to_Live!,True,,,
150,1958 (31st),Deborah Kerr,Sibyl Railton-Bell,Separate Tables,[37],/wiki/Separate_Tables_(film),False,,,
151,1958 (31st),Shirley MacLaine,Ginnie Moorehead,Some Came Running,[37],/wiki/Some_Came_Running_(film),False,,,
152,1958 (31st),Rosalind Russell,Mame Dennis,Auntie Mame,[37],/wiki/Auntie_Mame_(film),False,,,
153,1958 (31st),Elizabeth Taylor,"Margaret ""Maggie the Cat"" Pollitt",Cat on a Hot Tin Roof,[37],/wiki/Cat_on_a_Hot_Tin_Roof_(1958_film),False,,,
154,1959 (32nd),Simone Signoret ‡,Alice Aisgill,Room at the Top,[38],/wiki/Room_at_the_Top_(1959_film),True,,,
155,1959 (32nd),Doris Day,Jan Morrow,Pillow Talk,[38],/wiki/Pillow_Talk,False,,,
156,1959 (32nd),Audrey Hepburn,Gabrielle van der Mal,The Nun's Story,[38],/wiki/The_Nun%27s_Story_(film),False,,,
157,1959 (32nd),Katharine Hepburn,Violet Venable,"Suddenly, Last Summer",[38],"/wiki/Suddenly,_Last_Summer_(film)",False,,,
158,1959 (32nd),Elizabeth Taylor,Catherine Holly,"Suddenly, Last Summer",[38],"/wiki/Suddenly,_Last_Summer_(film)",False,,,
