,Year,Film,Nominee,FilmLink,Won,Nominees,Record,Writer,Age (in years),Ref.
203,1981 (54th) [53],Arthur,,/wiki/Arthur_(1981_film),False,Steve Gordon,,,,
204,1981 (54th) [53],Atlantic City,,/wiki/Atlantic_City_(1980_film),False,John Guare,,,,
205,1981 (54th) [53],Reds,,/wiki/Reds_(film),False,Trevor Griffiths & Warren Beatty,,,,
206,1982 (55th) [54],Gandhi,,/wiki/Gandhi_(film),True,John Briley‡,,,,
207,1982 (55th) [54],Diner,,/wiki/Diner_(1982_film),False,Barry Levinson,,,,
208,1982 (55th) [54],E.T. the Extra-Terrestrial,,/wiki/E.T._the_Extra-Terrestrial,False,Melissa Mathison,,,,
209,1982 (55th) [54],An Officer and a Gentleman,,/wiki/An_Officer_and_a_Gentleman,False,Douglas Day Stewart,,,,
210,1982 (55th) [54],Tootsie,,/wiki/Tootsie,False,Screenplay: Larry Gelbart & Murray Schisgal; Story: Gelbart & Don McGuire,,,,
211,1983 (56th) [55],Tender Mercies,,/wiki/Tender_Mercies,True,Horton Foote‡,,,,
212,1983 (56th) [55],The Big Chill,,/wiki/The_Big_Chill_(film),False,Barbara Benedek & Lawrence Kasdan,,,,
213,1983 (56th) [55],Fanny and Alexander,,/wiki/Fanny_and_Alexander,False,Ingmar Bergman,,,,
214,1983 (56th) [55],Silkwood,,/wiki/Silkwood,False,Alice Arlen & Nora Ephron,,,,
215,1983 (56th) [55],WarGames,,/wiki/WarGames,False,Lawrence Lasker & Walter Parkes,,,,
216,1984 (57th) [56],Places in the Heart,,/wiki/Places_in_the_Heart,True,Robert Benton‡,,,,
217,1984 (57th) [56],Beverly Hills Cop,,/wiki/Beverly_Hills_Cop,False,Screenplay: Daniel Petrie Jr.; Story: Danilo Bach & Petrie,,,,
218,1984 (57th) [56],Broadway Danny Rose,,/wiki/Broadway_Danny_Rose,False,Woody Allen,,,,
219,1984 (57th) [56],El Norte,,/wiki/El_Norte_(film),False,Gregory Nava & Anna Thomas,,,,
220,1984 (57th) [56],Splash,,/wiki/Splash_(film),False,"Screenplay: Bruce Jay Friedman, Lowell Ganz & Babaloo Mandel; Story: Friedman & Brian Grazer",,,,
221,1985 (58th) [57],Witness,,/wiki/Witness_(1985_film),True,"Screenplay: William Kelley & Earl W. Wallace; Story: Kelley, E. Wallace & Pamela Wallace ‡",,,,
222,1985 (58th) [57],Back to the Future,,/wiki/Back_to_the_Future,False,Bob Gale & Robert Zemeckis,,,,
223,1985 (58th) [57],Brazil,,/wiki/Brazil_(1985_film),False,"Terry Gilliam, Charles McKeown & Tom Stoppard",,,,
224,1985 (58th) [57],The Official Story,,/wiki/The_Official_Story,False,Aída Bortnik & Luis Puenzo,,,,
225,1985 (58th) [57],The Purple Rose of Cairo,,/wiki/The_Purple_Rose_of_Cairo,False,Woody Allen,,,,
226,1986 (59th) [58],Hannah and Her Sisters,,/wiki/Hannah_and_Her_Sisters,True,Woody Allen‡,,,,
227,1986 (59th) [58],Crocodile Dundee,,/wiki/Crocodile_Dundee,False,"Screenplay: John Cornell, Paul Hogan & Ken Shadie; Story: Hogan",,,,
228,1986 (59th) [58],My Beautiful Laundrette,,/wiki/My_Beautiful_Laundrette,False,Hanif Kureishi,,,,
229,1986 (59th) [58],Platoon,,/wiki/Platoon_(film),False,Oliver Stone,,,,
230,1986 (59th) [58],Salvador,,/wiki/Salvador_(film),False,Richard Boyle & Stone,,,,
231,1987 (60th) [59],Moonstruck,,/wiki/Moonstruck,True,John Patrick Shanley‡,,,,
232,1987 (60th) [59],"Au Revoir Les Enfants (Goodbye, Children)",,/wiki/Au_revoir_les_enfants,False,Louis Malle,,,,
233,1987 (60th) [59],Broadcast News,,/wiki/Broadcast_News_(film),False,James L. Brooks,,,,
234,1987 (60th) [59],Hope and Glory,,/wiki/Hope_and_Glory_(film),False,John Boorman,,,,
235,1987 (60th) [59],Radio Days,,/wiki/Radio_Days,False,Woody Allen,,,,
236,1988 (61st) [60],Rain Man,,/wiki/Rain_Man,True,Screenplay: Ronald Bass & Barry Morrow; Story: Morrow ‡,,,,
237,1988 (61st) [60],Big,,/wiki/Big_(film),False,Gary Ross & Anne Spielberg,,,,
238,1988 (61st) [60],Bull Durham,,/wiki/Bull_Durham,False,Ron Shelton,,,,
239,1988 (61st) [60],A Fish Called Wanda,,/wiki/A_Fish_Called_Wanda,False,Screenplay: John Cleese; Story: Cleese & Charles Crichton,,,,
240,1988 (61st) [60],Running on Empty,,/wiki/Running_on_Empty_(1988_film),False,Naomi Foner Gyllenhaal,,,,
241,1989 (62nd) [61],Dead Poets Society,,/wiki/Dead_Poets_Society,True,Tom Schulman‡,,,,
242,1989 (62nd) [61],Crimes and Misdemeanors,,/wiki/Crimes_and_Misdemeanors,False,Woody Allen,,,,
243,1989 (62nd) [61],Do the Right Thing,,/wiki/Do_the_Right_Thing,False,Spike Lee,,,,
244,1989 (62nd) [61],"Sex, Lies, and Videotape",,"/wiki/Sex,_Lies,_and_Videotape",False,Steven Soderbergh,,,,
245,1989 (62nd) [61],When Harry Met Sally...,,/wiki/When_Harry_Met_Sally...,False,Nora Ephron,,,,
246,1990 (63rd) [62],Ghost,,/wiki/Ghost_(1990_film),True,Bruce Joel Rubin‡,,,,
247,1990 (63rd) [62],Alice,,/wiki/Alice_(1990_film),False,Woody Allen,,,,
248,1990 (63rd) [62],Avalon,,/wiki/Avalon_(1990_film),False,Barry Levinson,,,,
249,1990 (63rd) [62],Green Card,,/wiki/Green_Card_(film),False,Peter Weir,,,,
250,1990 (63rd) [62],Metropolitan,,/wiki/Metropolitan_(1990_film),False,Whit Stillman,,,,
251,1991 (64th) [63],Thelma & Louise,,/wiki/Thelma_%26_Louise,True,Callie Khouri‡,,,,
252,1991 (64th) [63],Boyz n the Hood,,/wiki/Boyz_n_the_Hood,False,John Singleton,,,,
253,1991 (64th) [63],Bugsy,,/wiki/Bugsy,False,James Toback,,,,
254,1991 (64th) [63],The Fisher King,,/wiki/The_Fisher_King,False,Richard LaGravenese,,,,
255,1991 (64th) [63],Grand Canyon,,/wiki/Grand_Canyon_(1991_film),False,Lawrence Kasdan & Meg Kasdan,,,,
256,1992 (65th) [64],The Crying Game,,/wiki/The_Crying_Game,True,Neil Jordan‡,,,,
257,1992 (65th) [64],Husbands and Wives,,/wiki/Husbands_and_Wives,False,Woody Allen,,,,
258,1992 (65th) [64],Lorenzo's Oil,,/wiki/Lorenzo%27s_Oil,False,Nick Enright & George Miller,,,,
259,1992 (65th) [64],Passion Fish,,/wiki/Passion_Fish,False,John Sayles,,,,
260,1992 (65th) [64],Unforgiven,,/wiki/Unforgiven,False,David Peoples,,,,
261,1993 (66th) [65],The Piano,,/wiki/The_Piano,True,Jane Campion‡,,,,
262,1993 (66th) [65],Dave,,/wiki/Dave_(film),False,Gary Ross,,,,
263,1993 (66th) [65],In the Line of Fire,,/wiki/In_the_Line_of_Fire,False,Jeff Maguire,,,,
264,1993 (66th) [65],Philadelphia,,/wiki/Philadelphia_(film),False,Ron Nyswaner,,,,
265,1993 (66th) [65],Sleepless in Seattle,,/wiki/Sleepless_in_Seattle,False,"Screenplay: Jeff Arch, Nora Ephron & David S. Ward; Story: Arch",,,,
266,1994 (67th) [66],Pulp Fiction,,/wiki/Pulp_Fiction,True,Screenplay: Quentin Tarantino; Story: Roger Avary & Tarantino ‡,,,,
267,1994 (67th) [66],Bullets over Broadway,,/wiki/Bullets_over_Broadway,False,Woody Allen & Douglas McGrath,,,,
268,1994 (67th) [66],Four Weddings and a Funeral,,/wiki/Four_Weddings_and_a_Funeral,False,Richard Curtis,,,,
269,1994 (67th) [66],Heavenly Creatures,,/wiki/Heavenly_Creatures,False,Peter Jackson & Frances Walsh,,,,
270,1994 (67th) [66],Three Colours: Red,,/wiki/Three_Colours:_Red,False,Krzysztof Kieślowski & Krzysztof Piesiewicz,,,,
271,1995 (68th) [67],The Usual Suspects,,/wiki/The_Usual_Suspects,True,Christopher McQuarrie‡,,,,
272,1995 (68th) [67],Braveheart,,/wiki/Braveheart,False,Randall Wallace,,,,
273,1995 (68th) [67],Mighty Aphrodite,,/wiki/Mighty_Aphrodite,False,Woody Allen,,,,
274,1995 (68th) [67],Nixon,,/wiki/Nixon_(film),False,"Stephen J. Rivele, Oliver Stone & Christopher Wilkinson",,,,
275,1995 (68th) [67],Toy Story,,/wiki/Toy_Story,False,"Screenplay: Joel Cohen, Alec Sokolow, Andrew Stanton & Joss Whedon; Story: Pete Docter, John Lasseter, Joe Ranft & Stanton",,,,
276,1996 (69th) [68],Fargo,,/wiki/Fargo_(1996_film),True,Coen Brothers‡,,,,
277,1996 (69th) [68],Jerry Maguire,,/wiki/Jerry_Maguire,False,Cameron Crowe,,,,
278,1996 (69th) [68],Lone Star,,/wiki/Lone_Star_(1996_film),False,John Sayles,,,,
279,1996 (69th) [68],Secrets & Lies,,/wiki/Secrets_%26_Lies_(film),False,Mike Leigh,,,,
280,1996 (69th) [68],Shine,,/wiki/Shine_(film),False,Screenplay: Jan Sardi; Story: Scott Hicks,,,,
281,1997 (70th) [69],Good Will Hunting,,/wiki/Good_Will_Hunting,True,Ben Affleck & Matt Damon‡,,,,
282,1997 (70th) [69],As Good as It Gets,,/wiki/As_Good_as_It_Gets,False,Screenplay: Mark Andrus & James L. Brooks; Story: Andrus,,,,
283,1997 (70th) [69],Boogie Nights,,/wiki/Boogie_Nights,False,Paul Thomas Anderson,,,,
284,1997 (70th) [69],Deconstructing Harry,,/wiki/Deconstructing_Harry,False,Woody Allen,,,,
285,1997 (70th) [69],The Full Monty,,/wiki/The_Full_Monty,False,Simon Beaufoy,,,,
286,1998 (71st) [70],Shakespeare in Love,,/wiki/Shakespeare_in_Love,True,Marc Norman & Tom Stoppard‡,,,,
287,1998 (71st) [70],Bulworth,,/wiki/Bulworth,False,Screenplay: Warren Beatty & Jeremy Pikser; Story: Beatty,,,,
288,1998 (71st) [70],Life Is Beautiful,,/wiki/Life_Is_Beautiful,False,Roberto Benigni & Vincenzo Cerami,,,,
289,1998 (71st) [70],Saving Private Ryan,,/wiki/Saving_Private_Ryan,False,Robert Rodat,,,,
290,1998 (71st) [70],The Truman Show,,/wiki/The_Truman_Show,False,Andrew Niccol,,,,
291,1999 (72nd) [71],American Beauty,,/wiki/American_Beauty_(1999_film),True,Alan Ball‡,,,,
292,1999 (72nd) [71],Being John Malkovich,,/wiki/Being_John_Malkovich,False,Charlie Kaufman,,,,
293,1999 (72nd) [71],Magnolia,,/wiki/Magnolia_(film),False,Paul Thomas Anderson,,,,
294,1999 (72nd) [71],The Sixth Sense,,/wiki/The_Sixth_Sense,False,M. Night Shyamalan,,,,
295,1999 (72nd) [71],Topsy-Turvy,,/wiki/Topsy-Turvy,False,Mike Leigh,,,,
296,2000 (73rd) [72],Almost Famous,,/wiki/Almost_Famous,True,Cameron Crowe‡,,,,
297,2000 (73rd) [72],Billy Elliot,,/wiki/Billy_Elliot,False,Lee Hall,,,,
298,2000 (73rd) [72],Erin Brockovich,,/wiki/Erin_Brockovich_(film),False,Susannah Grant,,,,
299,2000 (73rd) [72],Gladiator,,/wiki/Gladiator_(2000_film),False,"Screenplay: David Franzoni, John Logan & William Nicholson; Story: Franzoni",,,,
300,2000 (73rd) [72],You Can Count on Me,,/wiki/You_Can_Count_on_Me,False,Kenneth Lonergan,,,,
301,2001 (74th) [73],Gosford Park,,/wiki/Gosford_Park,True,Julian Fellowes‡,,,,
302,2001 (74th) [73],Amélie,,/wiki/Am%C3%A9lie,False,Screenplay: Jean-Pierre Jeunet & Guillaume Laurant; Dialogue: Laurant,,,,
303,2001 (74th) [73],Memento,,/wiki/Memento_(film),False,Screenplay: Christopher Nolan; Story: Jonathan Nolan,,,,
304,2001 (74th) [73],Monster's Ball,,/wiki/Monster%27s_Ball,False,Milo Addica & Will Rokos,,,,
305,2001 (74th) [73],The Royal Tenenbaums,,/wiki/The_Royal_Tenenbaums,False,Wes Anderson & Owen Wilson,,,,
306,2002 (75th) [74],Talk to Her,,/wiki/Talk_to_Her,True,Pedro Almodóvar‡,,,,
307,2002 (75th) [74],Far from Heaven,,/wiki/Far_from_Heaven,False,Todd Haynes,,,,
308,2002 (75th) [74],Gangs of New York,,/wiki/Gangs_of_New_York,False,"Screenplay: Jay Cocks, Kenneth Lonergan & Steven Zaillian; Story: Cocks",,,,
309,2002 (75th) [74],My Big Fat Greek Wedding,,/wiki/My_Big_Fat_Greek_Wedding,False,Nia Vardalos,,,,
310,2002 (75th) [74],Y Tu Mamá También,,/wiki/Y_tu_mam%C3%A1_tambi%C3%A9n,False,Alfonso & Carlos Cuarón,,,,
311,2003 (76th) [75],Lost in Translation,,/wiki/Lost_in_Translation_(film),True,Sofia Coppola‡,,,,
312,2003 (76th) [75],The Barbarian Invasions,,/wiki/The_Barbarian_Invasions,False,Denys Arcand,,,,
313,2003 (76th) [75],Dirty Pretty Things,,/wiki/Dirty_Pretty_Things_(film),False,Steven Knight,,,,
314,2003 (76th) [75],Finding Nemo,,/wiki/Finding_Nemo,False,"Screenplay: Bob Peterson, David Reynolds & Andrew Stanton; Story: Stanton",,,,
315,2003 (76th) [75],In America,,/wiki/In_America_(film),False,"Jim, Kirsten & Naomi Sheridan",,,,
316,2004 (77th) [76],Eternal Sunshine of the Spotless Mind,,/wiki/Eternal_Sunshine_of_the_Spotless_Mind,True,"Screenplay: Charlie Kaufman; Story: Pierre Bismuth, Michel Gondry & Kaufman ‡",,,,
317,2004 (77th) [76],The Aviator,,/wiki/The_Aviator_(2004_film),False,John Logan,,,,
318,2004 (77th) [76],Hotel Rwanda,,/wiki/Hotel_Rwanda,False,Terry George & Keir Pearson,,,,
319,2004 (77th) [76],The Incredibles,,/wiki/The_Incredibles,False,Brad Bird,,,,
320,2004 (77th) [76],Vera Drake,,/wiki/Vera_Drake,False,Mike Leigh,,,,
321,2005 (78th) [77],Crash,,/wiki/Crash_(2004_film),True,Screenplay: Paul Haggis & Bobby Moresco; Story: Haggis ‡,,,,
322,2005 (78th) [77],"Good Night, and Good Luck",,"/wiki/Good_Night,_and_Good_Luck",False,George Clooney & Grant Heslov,,,,
323,2005 (78th) [77],Match Point,,/wiki/Match_Point,False,Woody Allen,,,,
324,2005 (78th) [77],The Squid and the Whale,,/wiki/The_Squid_and_the_Whale,False,Noah Baumbach,,,,
325,2005 (78th) [77],Syriana,,/wiki/Syriana,False,Stephen Gaghan,,,,
326,2006 (79th) [78],Little Miss Sunshine,,/wiki/Little_Miss_Sunshine,True,Michael Arndt‡,,,,
327,2006 (79th) [78],Babel,,/wiki/Babel_(film),False,Guillermo Arriaga,,,,
328,2006 (79th) [78],Letters from Iwo Jima,,/wiki/Letters_from_Iwo_Jima,False,Screenplay: Iris Yamashita; Story: Paul Haggis & Yamashita,,,,
329,2006 (79th) [78],Pan's Labyrinth,,/wiki/Pan%27s_Labyrinth,False,Guillermo del Toro,,,,
330,2006 (79th) [78],The Queen,,/wiki/The_Queen_(2006_film),False,Peter Morgan,,,,
331,2007 (80th) [79],Juno,,/wiki/Juno_(film),True,Diablo Cody‡,,,,
332,2007 (80th) [79],Lars and the Real Girl,,/wiki/Lars_and_the_Real_Girl,False,Nancy Oliver,,,,
333,2007 (80th) [79],Michael Clayton,,/wiki/Michael_Clayton_(film),False,Tony Gilroy,,,,
334,2007 (80th) [79],Ratatouille,,/wiki/Ratatouille_(film),False,"Screenplay: Brad Bird; Story: Bird, Jim Capobianco & Jan Pinkava",,,,
335,2007 (80th) [79],The Savages,,/wiki/The_Savages_(film),False,Tamara Jenkins,,,,
336,2008 (81st) [80],Milk,,/wiki/Milk_(2008_American_film),True,Dustin Lance Black‡,,,,
337,2008 (81st) [80],Frozen River,,/wiki/Frozen_River,False,Courtney Hunt,,,,
338,2008 (81st) [80],Happy-Go-Lucky,,/wiki/Happy-Go-Lucky_(2008_film),False,Mike Leigh,,,,
339,2008 (81st) [80],In Bruges,,/wiki/In_Bruges,False,Martin McDonagh,,,,
340,2008 (81st) [80],WALL-E,,/wiki/WALL-E,False,Screenplay: Jim Reardon & Andrew Stanton; Story: Pete Docter & Stanton,,,,
341,2009 (82nd) [81],The Hurt Locker,,/wiki/The_Hurt_Locker,True,Mark Boal‡,,,,
342,2009 (82nd) [81],Inglourious Basterds,,/wiki/Inglourious_Basterds,False,Quentin Tarantino,,,,
343,2009 (82nd) [81],The Messenger,,/wiki/The_Messenger_(2009_film),False,Alessandro Camon & Oren Moverman,,,,
344,2009 (82nd) [81],A Serious Man,,/wiki/A_Serious_Man,False,Coen Brothers,,,,
345,2009 (82nd) [81],Up,,/wiki/Up_(2009_film),False,"Screenplay: Pete Docter & Bob Peterson; Story: Docter, Peterson & Tom McCarthy",,,,
346,2010 (83rd) [82],The King's Speech,,/wiki/The_King%27s_Speech,True,David Seidler‡,,,,
347,2010 (83rd) [82],Another Year,,/wiki/Another_Year_(film),False,Mike Leigh,,,,
348,2010 (83rd) [82],The Fighter,,/wiki/The_Fighter,False,"Screenplay: Eric Johnson, Scott Silver & Paul Tamasy; Story: Keith Dorrington, Johnson & Tamasy",,,,
349,2010 (83rd) [82],Inception,,/wiki/Inception,False,Christopher Nolan,,,,
350,2010 (83rd) [82],The Kids Are All Right,,/wiki/The_Kids_Are_All_Right_(film),False,Stuart Blumberg & Lisa Cholodenko,,,,
351,2011 (84th) [83],Midnight in Paris,,/wiki/Midnight_in_Paris,True,Woody Allen‡,,,,
352,2011 (84th) [83],The Artist,,/wiki/The_Artist_(film),False,Michel Hazanavicius,,,,
353,2011 (84th) [83],Bridesmaids,,/wiki/Bridesmaids_(2011_film),False,Annie Mumolo & Kristen Wiig,,,,
354,2011 (84th) [83],Margin Call,,/wiki/Margin_Call,False,J. C. Chandor,,,,
355,2011 (84th) [83],A Separation,,/wiki/A_Separation,False,Asghar Farhadi,,,,
356,2012 (85th) [84],Django Unchained,,/wiki/Django_Unchained,True,Quentin Tarantino‡,,,,
357,2012 (85th) [84],Amour,,/wiki/Amour_(2012_film),False,Michael Haneke,,,,
358,2012 (85th) [84],Flight,,/wiki/Flight_(2012_film),False,John Gatins,,,,
359,2012 (85th) [84],Moonrise Kingdom,,/wiki/Moonrise_Kingdom,False,Wes Anderson & Roman Coppola,,,,
360,2012 (85th) [84],Zero Dark Thirty,,/wiki/Zero_Dark_Thirty,False,Mark Boal,,,,
361,2013 (86th) [85],Her,,/wiki/Her_(film),True,Spike Jonze‡,,,,
362,2013 (86th) [85],American Hustle,,/wiki/American_Hustle,False,David O. Russell & Eric Warren Singer,,,,
363,2013 (86th) [85],Blue Jasmine,,/wiki/Blue_Jasmine,False,Woody Allen,,,,
364,2013 (86th) [85],Dallas Buyers Club,,/wiki/Dallas_Buyers_Club,False,Craig Borten & Melisa Wallack,,,,
365,2013 (86th) [85],Nebraska,,/wiki/Nebraska_(film),False,Bob Nelson,,,,
366,2014 (87th) [86],Birdman,,/wiki/Birdman_(film),True,"Armando Bo, Alexander Dinelaris Jr., Nicolás Giacobone & Alejandro G. Iñárritu‡",,,,
367,2014 (87th) [86],Boyhood,,/wiki/Boyhood_(2014_film),False,Richard Linklater,,,,
368,2014 (87th) [86],Foxcatcher,,/wiki/Foxcatcher,False,E. Max Frye & Dan Futterman,,,,
369,2014 (87th) [86],The Grand Budapest Hotel,,/wiki/The_Grand_Budapest_Hotel,False,Screenplay: Wes Anderson; Story: Anderson & Hugo Guinness,,,,
370,2014 (87th) [86],Nightcrawler,,/wiki/Nightcrawler_(film),False,Dan Gilroy,,,,
371,2015 (88th) [87],Spotlight,,/wiki/Spotlight_(film),True,Josh Singer & Tom McCarthy‡,,,,
372,2015 (88th) [87],Bridge of Spies,,/wiki/Bridge_of_Spies_(film),False,Matt Charman & Coen Brothers,,,,
373,2015 (88th) [87],Ex Machina,,/wiki/Ex_Machina_(film),False,Alex Garland,,,,
374,2015 (88th) [87],Inside Out,,/wiki/Inside_Out_(2015_film),False,"Screenplay: Josh Cooley, Pete Docter & Meg LeFauve; Story: Ronnie del Carmen & Docter",,,,
375,2015 (88th) [87],Straight Outta Compton,,/wiki/Straight_Outta_Compton_(film),False,"Screenplay: Andrea Berloff & Jonathan Herman; Story: Berloff, S. Leigh Savidge & Alan Wenkus",,,,
376,2016 (89th) [88],Manchester by the Sea,,/wiki/Manchester_by_the_Sea_(film),True,Kenneth Lonergan‡,,,,
377,2016 (89th) [88],Hell or High Water,,/wiki/Hell_or_High_Water_(2016_film),False,Taylor Sheridan,,,,
378,2016 (89th) [88],La La Land,,/wiki/La_La_Land,False,Damien Chazelle,,,,
379,2016 (89th) [88],The Lobster,,/wiki/The_Lobster,False,Efthimis Filippou & Yorgos Lanthimos,,,,
380,2016 (89th) [88],20th Century Women,,/wiki/20th_Century_Women,False,Mike Mills,,,,
381,2017 (90th) [89],Get Out,,/wiki/Get_Out,True,Jordan Peele‡,,,,
382,2017 (90th) [89],The Big Sick,,/wiki/The_Big_Sick,False,Emily V. Gordon & Kumail Nanjiani,,,,
383,2017 (90th) [89],Lady Bird,,/wiki/Lady_Bird_(film),False,Greta Gerwig,,,,
384,2017 (90th) [89],The Shape of Water,,/wiki/The_Shape_of_Water,False,Screenplay: Guillermo del Toro & Vanessa Taylor; Story: del Toro,,,,
385,2017 (90th) [89],"Three Billboards Outside Ebbing, Missouri",,"/wiki/Three_Billboards_Outside_Ebbing,_Missouri",False,Martin McDonagh,,,,
386,2018 (91st) [90],Green Book,,/wiki/Green_Book_(film),True,"Brian Currie, Peter Farrelly & Nick Vallelonga‡",,,,
387,2018 (91st) [90],The Favourite,,/wiki/The_Favourite,False,Deborah Davis & Tony McNamara,,,,
388,2018 (91st) [90],First Reformed,,/wiki/First_Reformed,False,Paul Schrader,,,,
389,2018 (91st) [90],Roma,,/wiki/Roma_(2018_film),False,Alfonso Cuarón,,,,
390,2018 (91st) [90],Vice,,/wiki/Vice_(2018_film),False,Adam McKay,,,,
391,2019 (92nd) [91],Parasite,,/wiki/Parasite_(2019_film),True,Screenplay: Bong Joon-ho & Han Jin-won; Story: Bong‡,,,,
392,2019 (92nd) [91],Knives Out,,/wiki/Knives_Out,False,Rian Johnson,,,,
393,2019 (92nd) [91],Marriage Story,,/wiki/Marriage_Story,False,Noah Baumbach,,,,
394,2019 (92nd) [91],1917,,/wiki/1917_(2019_film),False,Sam Mendes & Krysty Wilson-Cairns,,,,
395,2019 (92nd) [91],Once Upon a Time in Hollywood,,/wiki/Once_Upon_a_Time_in_Hollywood,False,Quentin Tarantino,,,,
396,2019 (92nd) [91],,,,False,,,,,
397,2020/21 (93rd)  [92][note 3],Promising Young Woman,,/wiki/Promising_Young_Woman,True,Emerald Fennell‡,,,,
398,2020/21 (93rd)  [92][note 3],Judas and the Black Messiah,,/wiki/Judas_and_the_Black_Messiah,False,"Screenplay: Will Berson & Shaka King; Story: Berson, King, Keith & Kenny Lucas",,,,
399,2020/21 (93rd)  [92][note 3],Minari,,/wiki/Minari_(film),False,Lee Isaac Chung,,,,
400,2020/21 (93rd)  [92][note 3],Sound of Metal,,/wiki/Sound_of_Metal,False,Screenplay: Abraham & Darius Marder; Story: Derek Cianfrance & D. Marder,,,,
401,2020/21 (93rd)  [92][note 3],The Trial of the Chicago 7,,/wiki/The_Trial_of_the_Chicago_7,False,Aaron Sorkin,,,,
402,2021 (94th)  [93],Belfast,,/wiki/Belfast_(film),True,Kenneth Branagh‡,,,,
403,2021 (94th)  [93],Don't Look Up,,/wiki/Don%27t_Look_Up,False,Screenplay: Adam McKay; Story: McKay & David Sirota,,,,
404,2021 (94th)  [93],King Richard,,/wiki/King_Richard_(film),False,Zach Baylin,,,,
405,2021 (94th)  [93],Licorice Pizza,,/wiki/Licorice_Pizza,False,Paul Thomas Anderson,,,,
406,2021 (94th)  [93],The Worst Person in the World,,/wiki/The_Worst_Person_in_the_World_(film),False,Joachim Trier & Eskil Vogt,,,,
407,2022 (95th),Everything Everywhere All at Once,,/wiki/Everything_Everywhere_All_at_Once,True,Daniel Kwan and Daniel Scheinert‡,,,,
408,2022 (95th),The Banshees of Inisherin,,/wiki/The_Banshees_of_Inisherin,False,Martin McDonagh,,,,
409,2022 (95th),The Fabelmans,,/wiki/The_Fabelmans,False,Tony Kushner & Steven Spielberg,,,,
410,2022 (95th),Tár,,/wiki/T%C3%A1r,False,Todd Field,,,,
411,2022 (95th),Triangle of Sadness,,/wiki/Triangle_of_Sadness,False,Ruben Östlund,,,,
412,2023 (96th),Anatomy of a Fall,,/wiki/Anatomy_of_a_Fall,False,Arthur Harari & Justine Triet,,,,
413,2023 (96th),The Holdovers,,/wiki/The_Holdovers,False,David Hemingson,,,,
414,2023 (96th),Maestro,,/wiki/Maestro_(2023_film),False,Bradley Cooper & Josh Singer,,,,
415,2023 (96th),May December,,/wiki/May_December,False,Screenplay: Samy Burch; Story: Burch & Alex Mechanik,,,,
416,2023 (96th),Past Lives,,/wiki/Past_Lives_(film),False,Celine Song,,,,
417,,Midnight in Paris,,/wiki/Midnight_in_Paris,False,,Oldest winner,Woody Allen,76.0,[94]
418,,Blue Jasmine,,/wiki/Blue_Jasmine,False,,Oldest nominee,Woody Allen,78.0,[94]
419,,Good Will Hunting,,/wiki/Good_Will_Hunting,False,,Youngest winner,Ben Affleck,25.0,[95]
420,,Boyz n the Hood,,/wiki/Boyz_n_the_Hood,False,,Youngest nominee,John Singleton,24.0,[96]
