,Year,Film,Song,Nominees,FilmLink,Won
181,1958 (31st) [43],A Certain Smile,"""A Certain Smile""",Sammy Fain (music); Paul Francis Webster (lyrics),/wiki/A_Certain_Smile_(film),False
182,1958 (31st) [43],Houseboat,"""Almost in Your Arms""",Ray Evans & Jay Livingston (music & lyrics),/wiki/Houseboat_(film),False
183,1958 (31st) [43],Marjorie Morningstar,"""A Very Precious Love""",Fain (music); Webster (lyrics),/wiki/Marjorie_Morningstar_(film),False
184,1958 (31st) [43],Some Came Running,"""To Love and Be Loved""",Jimmy Van Heusen (music); Sammy Cahn (lyrics),/wiki/Some_Came_Running_(film),False
185,1959 (32nd) [44],,,,,False
186,1959 (32nd) [44],A Hole in the Head,"""High Hopes""",Jimmy Van Heusen (music); Sammy Cahn (lyrics),/wiki/A_Hole_in_the_Head,True
187,1959 (32nd) [44],The Best of Everything,"""The Best of Everything""",Alfred Newman (music); Cahn (lyrics),/wiki/The_Best_of_Everything_(film),False
188,1959 (32nd) [44],The Five Pennies,"""The Five Pennies""",Sylvia Fine (music & lyrics),/wiki/The_Five_Pennies,False
189,1959 (32nd) [44],The Hanging Tree,"""The Hanging Tree""",Jerry Livingston (music); Mack David (lyrics),/wiki/The_Hanging_Tree_(film),False
190,1959 (32nd) [44],The Young Land,"""Strange Are the Ways of Love""",Dimitri Tiomkin (music); Ned Washington (lyrics),/wiki/The_Young_Land,False
191,1960 (33rd) [45],,,,,False
192,1960 (33rd) [45],Never on Sunday,"""Never on Sunday""",Manos Hatzidakis (music & lyrics),/wiki/Never_on_Sunday,True
193,1960 (33rd) [45],The Alamo,"""The Green Leaves of Summer""",Dimitri Tiomkin (music); Paul Francis Webster (lyrics),/wiki/The_Alamo_(1960_film),False
194,1960 (33rd) [45],The Facts of Life,"""The Facts of Life""",Johnny Mercer (music & lyrics),/wiki/The_Facts_of_Life_(film),False
195,1960 (33rd) [45],High Time,"""The Second Time Around""",Jimmy Van Heusen (music); Sammy Cahn (lyrics),/wiki/High_Time_(film),False
196,1960 (33rd) [45],Pepe,"""Faraway Part of Town""",André Previn (music); Dory Previn (lyrics),/wiki/Pepe_(1960_film),False
197,1961 (34th) [46],,,,,False
198,1961 (34th) [46],Breakfast at Tiffany's,"""Moon River""",Henry Mancini (music); Johnny Mercer (lyrics),/wiki/Breakfast_at_Tiffany%27s_(film),True
199,1961 (34th) [46],Bachelor in Paradise,"""Bachelor in Paradise""",Mancini (music); Mack David (lyrics),/wiki/Bachelor_in_Paradise_(film),False
200,1961 (34th) [46],El Cid,"""The Falcon and the Dove""",Miklós Rózsa (music); Paul Francis Webster (lyrics),/wiki/El_Cid_(film),False
201,1961 (34th) [46],Pocketful of Miracles,"""Pocketful of Miracles""",Jimmy Van Heusen (music); Sammy Cahn (lyrics),/wiki/Pocketful_of_Miracles,False
202,1961 (34th) [46],Town Without Pity,"""Town Without Pity""",Dimitri Tiomkin (music); Ned Washington (lyrics),/wiki/Town_Without_Pity,False
203,1962 (35th) [47],,,,,False
204,1962 (35th) [47],Days of Wine and Roses,"""Days of Wine and Roses""",Henry Mancini (music); Johnny Mercer (lyrics),/wiki/Days_of_Wine_and_Roses_(film),True
205,1962 (35th) [47],Mutiny on the Bounty,"""Follow Me""",Bronisław Kaper (music); Paul Francis Webster (lyrics),/wiki/Mutiny_on_the_Bounty_(1962_film),False
206,1962 (35th) [47],Tender Is the Night,"""Tender Is the Night""",Sammy Fain (music); Webster (lyrics),/wiki/Tender_Is_the_Night_(film),False
207,1962 (35th) [47],Two for the Seesaw,"""Second Chance""",André Previn (music); Dory Previn (lyrics),/wiki/Two_for_the_Seesaw_(1962_film),False
208,1962 (35th) [47],Walk on the Wild Side,"""Walk on the Wild Side""",Elmer Bernstein (music); Mack David (lyrics),/wiki/Walk_on_the_Wild_Side_(film),False
209,1963 (36th) [48],,,,,False
210,1963 (36th) [48],Papa's Delicate Condition,"""Call Me Irresponsible""",Jimmy Van Heusen (music); Sammy Cahn (lyrics),/wiki/Papa%27s_Delicate_Condition,True
211,1963 (36th) [48],55 Days at Peking,"""So Little Time""",Dimitri Tiomkin (music); Paul Francis Webster (lyrics),/wiki/55_Days_at_Peking,False
212,1963 (36th) [48],Charade,"""Charade""",Henry Mancini (music); Johnny Mercer (lyrics),/wiki/Charade_(1963_film),False
213,1963 (36th) [48],"It's a Mad, Mad, Mad, Mad World","""It's a Mad, Mad, Mad, Mad World""",Ernest Gold (music); Mack David (lyrics),"/wiki/It%27s_a_Mad,_Mad,_Mad,_Mad_World",False
214,1963 (36th) [48],Mondo Cane,"""More""",Nino Oliviero & Riz Ortolani (music); Norman Newell (lyrics),/wiki/Mondo_Cane,False
215,1964 (37th) [49],,,,,False
216,1964 (37th) [49],Mary Poppins,"""Chim Chim Cher-ee""",Robert B. Sherman and Richard M. Sherman (music & lyrics),/wiki/Mary_Poppins_(film),True
217,1964 (37th) [49],Dear Heart,"""Dear Heart""",Henry Mancini (music); Ray Evans & Jay Livingston (lyrics),/wiki/Dear_Heart,False
218,1964 (37th) [49],"Hush...Hush, Sweet Charlotte","""Hush... Hush, Sweet Charlotte""",De Vol (music); Mack David (lyrics),"/wiki/Hush...Hush,_Sweet_Charlotte",False
219,1964 (37th) [49],Robin and the 7 Hoods,"""My Kind of Town""",Jimmy Van Heusen (music); Sammy Cahn (lyrics),/wiki/Robin_and_the_7_Hoods,False
220,1964 (37th) [49],Where Love Has Gone,"""Where Love Has Gone""",Jimmy Van Heusen (music); Sammy Cahn (lyrics),/wiki/Where_Love_Has_Gone_(film),False
221,1965 (38th) [50],,,,,False
222,1965 (38th) [50],The Sandpiper,"""The Shadow of Your Smile""",Johnny Mandel (music); Paul Francis Webster (lyrics),/wiki/The_Sandpiper,True
223,1965 (38th) [50],Cat Ballou,"""The Ballad of Cat Ballou""",Jerry Livingston (music); Mack David (lyrics),/wiki/Cat_Ballou,False
224,1965 (38th) [50],The Great Race,"""The Sweetheart Tree""",Henry Mancini (music); Johnny Mercer (lyrics),/wiki/The_Great_Race,False
225,1965 (38th) [50],The Umbrellas of Cherbourg,"""I Will Wait for You""",Michel Legrand (music); Jacques Demy (lyrics); Norman Gimbel (English lyrics),/wiki/The_Umbrellas_of_Cherbourg,False
226,1965 (38th) [50],What's New Pussycat?,"""What's New Pussycat?""",Burt Bacharach (music); Hal David (lyrics),/wiki/What%27s_New_Pussycat%3F,False
227,1966 (39th) [51],,,,,False
228,1966 (39th) [51],Born Free,"""Born Free""",John Barry (music); Don Black (lyrics),/wiki/Born_Free,True
229,1966 (39th) [51],Alfie,"""Alfie""",Burt Bacharach (music); Hal David (lyrics),/wiki/Alfie_(1966_film),False
230,1966 (39th) [51],An American Dream,"""A Time for Love""",Johnny Mandel (music); Paul Francis Webster (lyrics),/wiki/An_American_Dream_(film),False
231,1966 (39th) [51],Georgy Girl,"""Georgy Girl""",Tom Springfield (music); Jim Dale (lyrics),/wiki/Georgy_Girl,False
232,1966 (39th) [51],Hawaii,"""My Wishing Doll""",Elmer Bernstein (music); Mack David (lyrics),/wiki/Hawaii_(1966_film),False
233,1967 (40th) [52],,,,,False
234,1967 (40th) [52],Doctor Dolittle,"""Talk to the Animals""",Leslie Bricusse (music & lyrics),/wiki/Doctor_Dolittle_(1967_film),True
235,1967 (40th) [52],Banning,"""The Eyes of Love""",Quincy Jones (music); Bob Russell (lyrics),/wiki/Banning_(film),False
236,1967 (40th) [52],Casino Royale,"""The Look of Love""",Burt Bacharach (music); Hal David (lyrics),/wiki/Casino_Royale_(1967_film),False
237,1967 (40th) [52],The Jungle Book,"""The Bare Necessities""",Terry Gilkyson (music & lyrics),/wiki/The_Jungle_Book_(1967_film),False
238,1967 (40th) [52],Thoroughly Modern Millie,"""Thoroughly Modern Millie""",Sammy Cahn & Jimmy Van Heusen (music & lyrics),/wiki/Thoroughly_Modern_Millie,False
239,1968 (41st) [53],,,,,False
240,1968 (41st) [53],The Thomas Crown Affair,"""The Windmills of Your Mind""",Michel Legrand (music); Alan & Marilyn Bergman (lyrics),/wiki/The_Thomas_Crown_Affair_(1968_film),True
241,1968 (41st) [53],Chitty Chitty Bang Bang,"""Chitty Chitty Bang Bang""",Sherman Brothers (music & lyrics),/wiki/Chitty_Chitty_Bang_Bang,False
242,1968 (41st) [53],For Love of Ivy,"""For Love of Ivy""",Quincy Jones (music); Bob Russell (lyrics),/wiki/For_Love_of_Ivy,False
243,1968 (41st) [53],Funny Girl,"""Funny Girl""",Jule Styne (music); Bob Merrill (lyrics),/wiki/Funny_Girl_(film),False
244,1968 (41st) [53],Star!,"""Star!""",Jimmy Van Heusen (music); Sammy Cahn (lyrics),/wiki/Star!_(film),False
245,1969 (42nd) [54],,,,,False
246,1969 (42nd) [54],Butch Cassidy and the Sundance Kid,"""Raindrops Keep Fallin' on My Head""",Burt Bacharach (music); Hal David (lyrics),/wiki/Butch_Cassidy_and_the_Sundance_Kid,True
247,1969 (42nd) [54],The Happy Ending,"""What Are You Doing the Rest of Your Life?""",Michel Legrand (music); Alan & Marilyn Bergman (lyrics),/wiki/The_Happy_Ending,False
248,1969 (42nd) [54],The Prime of Miss Jean Brodie,"""Jean""",Rod McKuen (music & lyrics),/wiki/The_Prime_of_Miss_Jean_Brodie_(film),False
249,1969 (42nd) [54],The Sterile Cuckoo,"""Come Saturday Morning""",Fred Karlin (music); Dory Previn (lyrics),/wiki/The_Sterile_Cuckoo,False
250,1969 (42nd) [54],True Grit,"""True Grit""",Elmer Bernstein (music); Don Black (lyrics),/wiki/True_Grit_(1969_film),False
251,1970 (43rd) [55],,,,,False
252,1970 (43rd) [55],Lovers and Other Strangers,"""For All We Know""",Fred Karlin (music); Jimmy Griffin & Robb Royer (lyrics),/wiki/Lovers_and_Other_Strangers,True
253,1970 (43rd) [55],Darling Lili,"""Whistling Away the Dark""",Henry Mancini (music); Johnny Mercer (lyrics),/wiki/Darling_Lili,False
254,1970 (43rd) [55],Madron,"""Till Love Touches Your Life""",Riz Ortolani (music); Arthur Hamilton (lyrics),/wiki/Madron_(film),False
255,1970 (43rd) [55],Pieces of Dreams,"""Pieces of Dreams""",Michel Legrand (music); Alan & Marilyn Bergman (lyrics),/wiki/Pieces_of_Dreams_(film),False
256,1970 (43rd) [55],Scrooge,"""Thank You Very Much""",Leslie Bricusse (music & lyrics),/wiki/Scrooge_(1970_film),False
257,1971 (44th) [56],,,,,False
258,1971 (44th) [56],Shaft,"""Theme from Shaft""",Isaac Hayes (music & lyrics),/wiki/Shaft_(1971_film),True
259,1971 (44th) [56],Bedknobs and Broomsticks,"""The Age of Not Believing""",Sherman Brothers (music & lyrics),/wiki/Bedknobs_and_Broomsticks,False
260,1971 (44th) [56],Bless the Beasts & Children,"""Bless the Beasts & Children""",Perry Botkin Jr. & Barry De Vorzon (music and lyrics),/wiki/Bless_the_Beasts_and_Children_(film),False
261,1971 (44th) [56],Kotch,"""Life Is What You Make It""",Marvin Hamlisch (music); Johnny Mercer (lyrics),/wiki/Kotch,False
262,1971 (44th) [56],Sometimes a Great Notion,"""All His Children""",Henry Mancini (music); Alan & Marilyn Bergman (lyrics),/wiki/Sometimes_a_Great_Notion_(film),False
263,1972 (45th) [57],,,,,False
264,1972 (45th) [57],The Poseidon Adventure,"""The Morning After""",Joel Hirschhorn & Al Kasha (music & lyrics),/wiki/The_Poseidon_Adventure_(1972_film),True
265,1972 (45th) [57],Ben,"""Ben""",Walter Scharf (music); Don Black (lyrics),/wiki/Ben_(film),False
266,1972 (45th) [57],The Life and Times of Judge Roy Bean,"""Marmalade, Molasses & Honey""",Maurice Jarre (music); Alan & Marilyn Bergman (lyrics),/wiki/The_Life_and_Times_of_Judge_Roy_Bean,False
267,1972 (45th) [57],The Little Ark,"""Come Follow, Follow Me""",Fred Karlin (music); Marsha Karlin (lyrics),/wiki/The_Little_Ark,False
268,1972 (45th) [57],The Stepmother,"""Strange Are the Ways of Love""",Sammy Fain (music); Paul Francis Webster (lyrics),/wiki/The_Stepmother_(1972_film),False
269,1973 (46th) [58],,,,,False
270,1973 (46th) [58],The Way We Were,"""The Way We Were""",Marvin Hamlisch (music); Alan & Marilyn Bergman (lyrics),/wiki/The_Way_We_Were,True
271,1973 (46th) [58],Cinderella Liberty,"""Nice to Be Around""",John Williams (music); Paul Williams (lyrics),/wiki/Cinderella_Liberty,False
272,1973 (46th) [58],Live and Let Die,"""Live and Let Die""",Linda & Paul McCartney (music & lyrics),/wiki/Live_and_Let_Die_(film),False
273,1973 (46th) [58],Robin Hood,"""Love""",George Bruns (music); Floyd Huddleston (lyrics),/wiki/Robin_Hood_(1973_film),False
274,1973 (46th) [58],A Touch of Class,"""All That Love Went to Waste""",George Barrie (music); Sammy Cahn (lyrics),/wiki/A_Touch_of_Class_(film),False
275,1974 (47th) [59],,,,,False
276,1974 (47th) [59],The Towering Inferno,"""We May Never Love Like This Again""",Joel Hirschhorn & Al Kasha (music & lyrics),/wiki/The_Towering_Inferno,True
277,1974 (47th) [59],Benji,"""I Feel Love""",Euel Box (music); Betty Box (lyrics),/wiki/Benji_(1974_film),False
278,1974 (47th) [59],Blazing Saddles,"""Blazing Saddles""",John Morris (music); Mel Brooks (lyrics),/wiki/Blazing_Saddles,False
279,1974 (47th) [59],Gold,"""Wherever Love Takes Me""",Elmer Bernstein (music); Don Black (lyrics),/wiki/Gold_(1974_film),False
280,1974 (47th) [59],The Little Prince,"""Little Prince""",Frederick Loewe (music); Alan Jay Lerner (lyrics),/wiki/The_Little_Prince_(1974_film),False
281,1975 (48th) [60],,,,,False
282,1975 (48th) [60],Nashville,"""I'm Easy""",Keith Carradine (music & lyrics),/wiki/Nashville_(film),True
283,1975 (48th) [60],Funny Lady,"""How Lucky Can You Get""",Fred Ebb & John Kander (music & lyrics),/wiki/Funny_Lady,False
284,1975 (48th) [60],Mahogany,"""Theme from Mahogany (Do You Know Where You're Going To)""",Michael Masser (music); Gerry Goffin (lyrics),/wiki/Mahogany_(film),False
285,1975 (48th) [60],The Other Side of the Mountain,"""Richard's Window""",Charles Fox (music); Norman Gimbel (lyrics),/wiki/The_Other_Side_of_the_Mountain,False
286,1975 (48th) [60],Whiffs,"""Now That We're in Love""",George Barrie (music); Sammy Cahn (lyrics),/wiki/Whiffs,False
287,1976 (49th) [61],,,,,False
288,1976 (49th) [61],A Star Is Born,"""Evergreen (Love Theme from A Star Is Born)""",Barbra Streisand (music); Paul Williams (lyrics),/wiki/A_Star_Is_Born_(1976_film),True
289,1976 (49th) [61],Half a House,"""A World That Never Was""",Sammy Fain (music); Paul Francis Webster (lyrics),/wiki/Half_a_House,False
290,1976 (49th) [61],The Omen,"""Ave Satani""",Jerry Goldsmith (music & lyrics),/wiki/The_Omen,False
291,1976 (49th) [61],The Pink Panther Strikes Again,"""Come to Me""",Henry Mancini (music); Don Black (lyrics),/wiki/The_Pink_Panther_Strikes_Again,False
292,1976 (49th) [61],Rocky,"""Gonna Fly Now""",Bill Conti (music); Carol Connors & Ayn Robbins (lyrics),/wiki/Rocky,False
293,1977 (50th) [62],,,,,False
294,1977 (50th) [62],You Light Up My Life,"""You Light Up My Life""",Joseph Brooks (music & lyrics),/wiki/You_Light_Up_My_Life_(film),True
295,1977 (50th) [62],Pete's Dragon,"""Candle on the Water""",Joel Hirschhorn & Al Kasha (music & lyrics),/wiki/Pete%27s_Dragon_(1977_film),False
296,1977 (50th) [62],The Rescuers,"""Someone's Waiting for You""",Sammy Fain (music); Carol Connors & Ayn Robbins (lyrics),/wiki/The_Rescuers,False
297,1977 (50th) [62],The Slipper and the Rose,"""He/She Danced with Me""",Sherman Brothers (music & lyrics),/wiki/The_Slipper_and_the_Rose,False
298,1977 (50th) [62],The Spy Who Loved Me,"""Nobody Does It Better""",Marvin Hamlisch (music); Carole Bayer Sager (lyrics),/wiki/The_Spy_Who_Loved_Me_(film),False
299,1978 (51st) [63],,,,,False
300,1978 (51st) [63],Thank God It's Friday,"""Last Dance""",Paul Jabara (music & lyrics),/wiki/Thank_God_It%27s_Friday_(film),True
301,1978 (51st) [63],Foul Play,"""Ready to Take a Chance Again""",Charles Fox (music); Norman Gimbel (lyrics),/wiki/Foul_Play_(1978_film),False
302,1978 (51st) [63],Grease,"""Hopelessly Devoted to You""",John Farrar (music & lyrics),/wiki/Grease_(film),False
303,1978 (51st) [63],The Magic of Lassie,"""When You're Loved""",Sherman Brothers (music & lyrics),/wiki/The_Magic_of_Lassie,False
304,1978 (51st) [63],"Same Time, Next Year","""The Last Time I Felt Like This""",Marvin Hamlisch (music); Alan & Marilyn Bergman (lyrics),"/wiki/Same_Time,_Next_Year_(film)",False
305,1979 (52nd) [64],,,,,False
306,1979 (52nd) [64],Norma Rae,"""It Goes Like It Goes""",David Shire (music); Norman Gimbel (lyrics),/wiki/Norma_Rae,True
307,1979 (52nd) [64],10,"""It's Easy to Say""",Henry Mancini (music); Robert Wells (lyrics),/wiki/10_(1979_film),False
308,1979 (52nd) [64],Ice Castles,"""Through the Eyes of Love""",Marvin Hamlisch (music); Carole Bayer Sager (lyrics),/wiki/Ice_Castles,False
309,1979 (52nd) [64],The Muppet Movie,"""Rainbow Connection""",Kenny Ascher & Paul Williams (music & lyrics),/wiki/The_Muppet_Movie,False
310,1979 (52nd) [64],The Promise,"""I'll Never Say Goodbye""",David Shire (music); Alan & Marilyn Bergman (lyrics),/wiki/The_Promise_(1979_film),False
311,1980 (53rd) [65],,,,,False
312,1980 (53rd) [65],Fame,"""Fame""",Michael Gore (music); Dean Pitchford (lyrics),/wiki/Fame_(1980_film),True
313,1980 (53rd) [65],9 to 5,"""9 to 5""",Dolly Parton (music & lyrics),/wiki/9_to_5_(film),False
314,1980 (53rd) [65],The Competition,"""People Alone""",Lalo Schifrin (music); Will Jennings (lyrics),/wiki/The_Competition_(1980_film),False
315,1980 (53rd) [65],Fame,"""Out Here on My Own""",Michael Gore (music); Lesley Gore (lyrics),/wiki/Fame_(1980_film),True
316,1980 (53rd) [65],Honeysuckle Rose,"""On the Road Again""",Willie Nelson (music & lyrics),/wiki/Honeysuckle_Rose_(film),False
317,1981 (54th) [66],,,,,False
318,1981 (54th) [66],Arthur,"""Arthur's Theme (Best That You Can Do)""","Peter Allen, Burt Bacharach, Christopher Cross & Carole Bayer Sager (music & lyrics)",/wiki/Arthur_(1981_film),True
319,1981 (54th) [66],Endless Love,"""Endless Love""",Lionel Richie (music & lyrics),/wiki/Endless_Love_(1981_film),False
320,1981 (54th) [66],For Your Eyes Only,"""For Your Eyes Only""",Bill Conti (music); Mick Leeson (lyrics),/wiki/For_Your_Eyes_Only_(film),False
321,1981 (54th) [66],The Great Muppet Caper,"""The First Time It Happens""",Joe Raposo (music & lyrics),/wiki/The_Great_Muppet_Caper,False
322,1981 (54th) [66],Ragtime,"""One More Hour""",Randy Newman (music & lyrics),/wiki/Ragtime_(film),False
323,1982 (55th) [67],,,,,False
324,1982 (55th) [67],An Officer and a Gentleman,"""Up Where We Belong""",Jack Nitzsche & Buffy Sainte-Marie (music); Will Jennings (lyrics),/wiki/An_Officer_and_a_Gentleman,True
325,1982 (55th) [67],Best Friends,"""How Do You Keep the Music Playing?""",Michel Legrand (music); Alan & Marilyn Bergman (lyrics),/wiki/Best_Friends_(1982_film),False
326,1982 (55th) [67],Rocky III,"""Eye of the Tiger""",Jim Peterik & Frankie Sullivan (music & lyrics),/wiki/Rocky_III,False
327,1982 (55th) [67],Tootsie,"""It Might Be You""",Dave Grusin (music); A. & M. Bergman (lyrics),/wiki/Tootsie,False
328,1982 (55th) [67],"Yes, Giorgio","""If We Were in Love""",John Williams (music); A. & M. Bergman (lyrics),"/wiki/Yes,_Giorgio",False
329,1983 (56th) [68],,,,,False
330,1983 (56th) [68],Flashdance,"""Flashdance... What a Feeling""",Giorgio Moroder (music); Irene Cara & Keith Forsey (lyrics),/wiki/Flashdance,True
331,1983 (56th) [68],Flashdance,"""Maniac""",Dennis Matkosky & Michael Sembello (music & lyrics),/wiki/Flashdance,True
332,1983 (56th) [68],Tender Mercies,"""Over You""",Bobby Hart & Austin Roberts (music & lyrics),/wiki/Tender_Mercies,False
333,1983 (56th) [68],Yentl,"""Papa, Can You Hear Me?""",Michel Legrand (music); Alan & Marilyn Bergman (lyrics),/wiki/Yentl_(film),False
334,1983 (56th) [68],Yentl,"""The Way He Makes Me Feel""",Michel Legrand (music); Alan & Marilyn Bergman (lyrics),/wiki/Yentl_(film),False
335,1984 (57th) [69],,,,,False
336,1984 (57th) [69],The Woman in Red,"""I Just Called to Say I Love You""",Stevie Wonder (music & lyrics),/wiki/The_Woman_in_Red_(1984_film),True
337,1984 (57th) [69],Against All Odds,"""Against All Odds (Take a Look at Me Now)""",Phil Collins (music & lyrics),/wiki/Against_All_Odds_(1984_film),False
338,1984 (57th) [69],Footloose,"""Footloose""",Kenny Loggins & Dean Pitchford (music & lyrics),/wiki/Footloose_(1984_film),False
339,1984 (57th) [69],Footloose,"""Let's Hear It for the Boy""",Pitchford & Tom Snow (music & lyrics),/wiki/Footloose_(1984_film),False
340,1984 (57th) [69],Ghostbusters,"""Ghostbusters""",Ray Parker Jr. (music & lyrics),/wiki/Ghostbusters,False
341,1985 (58th) [70],,,,,False
342,1985 (58th) [70],White Nights,"""Say You, Say Me""",Lionel Richie (music & lyrics),/wiki/White_Nights_(1985_film),True
343,1985 (58th) [70],Back to the Future,"""The Power of Love""",Johnny Colla & Chris Hayes (music); Huey Lewis (lyrics),/wiki/Back_to_the_Future,False
344,1985 (58th) [70],A Chorus Line,"""Surprise, Surprise""",Marvin Hamlisch (music); Ed Kleban (lyrics),/wiki/A_Chorus_Line_(film),False
345,1985 (58th) [70],The Color Purple,"""Sister""","Quincy Jones & Rod Temperton (music); Jones, Richie & Temperton (lyrics)",/wiki/The_Color_Purple_(1985_film),False
346,1985 (58th) [70],White Nights,"""Separate Lives""",Stephen Bishop (music & lyrics),/wiki/White_Nights_(1985_film),True
347,1986 (59th) [71],,,,,False
348,1986 (59th) [71],Top Gun,"""Take My Breath Away""",Giorgio Moroder (music); Tom Whitlock (lyrics),/wiki/Top_Gun,True
349,1986 (59th) [71],An American Tail,"""Somewhere Out There""",James Horner & Barry Mann (music); Cynthia Weil (lyrics),/wiki/An_American_Tail,False
350,1986 (59th) [71],The Karate Kid Part II,"""Glory of Love""",Peter Cetera & David Foster (music); Cetera & Diane Nini (lyrics),/wiki/The_Karate_Kid_Part_II,False
351,1986 (59th) [71],Little Shop of Horrors,"""Mean Green Mother from Outer Space""",Alan Menken (music); Howard Ashman (lyrics),/wiki/Little_Shop_of_Horrors_(film),False
352,1986 (59th) [71],That's Life!,"""Life in a Looking Glass""",Henry Mancini (music); Leslie Bricusse (lyrics),/wiki/That%27s_Life!_(film),False
353,1987 (60th) [72],,,,,False
354,1987 (60th) [72],Dirty Dancing,"""(I've Had) The Time of My Life""","John DeNicola, Donald Markowitz & Franke Previte (music); Previte (lyrics)",/wiki/Dirty_Dancing,True
355,1987 (60th) [72],Beverly Hills Cop II,"""Shakedown""","Harold Faltermeyer & Keith Forsey (music); Faltermeyer, Forsey & Bob Seger (lyrics)",/wiki/Beverly_Hills_Cop_II,False
356,1987 (60th) [72],Cry Freedom,"""Cry Freedom""",George Fenton & Jonas Gwangwa (music & lyrics),/wiki/Cry_Freedom,False
357,1987 (60th) [72],Mannequin,"""Nothing's Gonna Stop Us Now""",Albert Hammond & Diane Warren (music & lyrics),/wiki/Mannequin_(1987_film),False
358,1987 (60th) [72],The Princess Bride,"""Storybook Love""",Willy DeVille (music & lyrics),/wiki/The_Princess_Bride_(film),False
359,1988 (61st) [73],,,,,False
360,1988 (61st) [73],Working Girl,"""Let the River Run""",Carly Simon (music & lyrics),/wiki/Working_Girl,True
361,1988 (61st) [73],Bagdad Cafe,"""Calling You""",Bob Telson (music & lyrics),/wiki/Bagdad_Cafe,False
362,1988 (61st) [73],Buster,"""Two Hearts""",Lamont Dozier (music); Phil Collins (lyrics),/wiki/Buster_(film),False
363,1989 (62nd) [74],,,,,False
364,1989 (62nd) [74],The Little Mermaid,"""Under the Sea""",Alan Menken (music); Howard Ashman (lyrics),/wiki/The_Little_Mermaid_(1989_film),True
365,1989 (62nd) [74],Chances Are,"""After All""",Tom Snow (music); Dean Pitchford (lyrics),/wiki/Chances_Are_(film),False
366,1989 (62nd) [74],The Little Mermaid,"""Kiss the Girl""",Menken (music); Ashman (lyrics),/wiki/The_Little_Mermaid_(1989_film),True
